"Sample_no","Rotation","Rotation_code","Prev_crop"
113,"0.m.p.m.p.m","2","m"
114,"p.p.p.p.p.p","6","p"
115,"m.m.p.m.m.p","3","p"
116,"0.m.p.m.p.m","2","m"
117,"0.m.p.m.p.m","2","m"
118,"0.m.p.m.p.m","2","m"
119,"p.p.p.p.p.p","6","p"
120,"0.m.p.m.p.m","2","m"
121,"p.p.p.p.p.p","6","p"
122,"0.m.p.m.p.m","2","m"
123,"m.m.p.m.m.p","3","p"
124,"p.p.p.p.p.p","6","p"
125,"p.p.p.p.p.p","6","p"
126,"m.m.p.m.m.p","3","p"
127,"m.m.p.m.m.p","3","p"
128,"m.m.p.m.m.p","3","p"
129,"m.m.p.m.m.p","3","p"
130,"p.p.p.p.p.p","6","p"
131,"0.m.p.m.p.m","2","m"
132,"p.p.p.p.p.p","6","p"
133,"0.m.p.m.p.m","2","m"
134,"0.m.p.m.p.m","2","m"
135,"0.m.p.m.p.m","2","m"
136,"0.m.p.m.p.m","2","m"
137,"m.m.p.m.m.p","3","p"
138,"0.m.p.m.p.m","2","m"
139,"p.p.p.p.p.p","6","p"
140,"p.p.p.p.p.p","6","p"
141,"m.m.p.m.m.p","3","p"
142,"0.m.p.m.p.m","2","m"
143,"p.p.p.p.p.p","6","p"
144,"m.m.p.m.m.p","3","p"
145,"0.m.p.m.p.m","2","m"
146,"m.m.p.m.m.p","3","p"
147,"p.p.p.p.p.p","6","p"
148,"m.m.p.m.m.p","3","p"
149,"p.p.p.p.p.p","6","p"
150,"m.m.p.m.m.p","3","p"
151,"m.m.p.m.m.p","3","p"
152,"p.p.p.p.p.p","6","p"
153,"m.m.p.m.m.p","3","p"
154,"0.m.p.m.p.m","2","m"
155,"p.p.p.p.p.p","6","p"
156,"m.m.p.m.m.p","3","p"
157,"p.p.p.p.p.p","6","p"
158,"0.m.p.m.p.m","2","m"
159,"p.p.p.p.p.p","6","p"
160,"0.m.p.m.p.m","2","m"
161,"p.p.p.p.p.p","6","p"
162,"m.m.p.m.m.p","3","p"
163,"0.m.p.m.p.m","2","m"
164,"0.m.p.m.p.m","2","m"
165,"0.m.p.m.p.m","2","m"
166,"m.m.p.m.m.p","3","p"
167,"m.m.p.m.m.p","3","p"
168,"p.p.p.p.p.p","6","p"
169,"m.m.p.m.m.p","3","p"
170,"m.m.p.m.m.p","3","p"
171,"0.m.p.m.p.m","2","m"
172,"m.m.p.m.m.p","3","p"
173,"p.p.p.p.p.p","6","p"
174,"0.m.p.m.p.m","2","m"
175,"p.p.p.p.p.p","6","p"
176,"p.p.p.p.p.p","6","p"
177,"m.m.p.m.m.p","3","p"
178,"0.m.p.m.p.m","2","m"
