"Sample_no","Year","Planting_day","Planting_month","Harvest_day","Harvest_month","Treatment_Code","Rotation","Rep","Variety","Irrigation","Quality_short","Quality_long","Acceptance","Orig_Weight","Weight","AFG2","AFG1","AFB2","AFB1","AFTotal"
73,"2002","06","05","07","10",2284,"2",2,"AT 201","0","LA","loose split kernel accept","accept",48.2,48.2,119.3,459.4,827.6,4404.5,5810.8
74,"2002","06","05","07","10",3374,"3",3,"GA 982508","0","LA","loose split kernel accept","accept",50.8,50.8,0,0,0.2,1.7,1.9
75,"2002","06","05","07","10",3284,"3",2,"AT 201","0","LA","loose split kernel accept","accept",41.9,41.9,15,45.1,609.7,3636.4,4306.2
76,"2002","06","05","07","10",3384,"3",3,"AT 201","0","LA","loose split kernel accept","accept",50.5,50.5,0,0,793,6413.8,7206.8
77,"2002","06","05","07","10",6274,"6",2,"GA 982508","0","LA","loose split kernel accept","accept",61,61,0.3,1.6,0.3,0.6,2.8
78,"2002","06","05","07","10",2274,"2",2,"GA 982508","0","LA","loose split kernel accept","accept",28.2,28.2,0,0,0.2,2.4,2.6
79,"2002","06","05","07","10",2374,"2",3,"GA 982508","0","LA","loose split kernel accept","accept",35.4,35.4,0,0,0.2,2,2.2
80,"2002","06","05","07","10",2184,"2",1,"AT 201","0","LA","loose split kernel accept","accept",72.8,72.8,0,0,60.5,310.9,371.4
81,"2002","06","05","07","10",3174,"3",1,"GA 982508","0","LA","loose split kernel accept","accept",36.5,36.5,0,0,0,1.5,1.5
82,"2002","06","05","07","10",3184,"3",1,"AT 201","0","LA","loose split kernel accept","accept",64.3,64.3,18,41.6,139.3,834.2,1022.1
83,"2002","06","05","07","10",6284,"6",2,"AT 201","0","LA","loose split kernel accept","accept",51,51,765.5,2234.7,1006.1,5664.9,9671.1
84,"2002","06","05","07","10",3164,"3",1,"GA Green diamond","0","A","whole kernel accept","premium",NA,199.9,0,0,4.2,60.4,64.6
85,"2002","06","05","07","10",6354,"6",3,"GA Green twin","0","A","whole kernel accept","premium",NA,200.1,0,0,0,0,0
86,"2002","06","05","07","10",2254,"2",2,"GA Green twin","0","A","whole kernel accept","premium",NA,199.8,0,0,0,0,0
87,"2002","06","05","07","10",2364,"2",3,"GA Green diamond","0","A","whole kernel accept","premium",NA,200,0,0,0,0,0
88,"2002","06","05","07","10",6254,"6",2,"GA Green twin","0","A","whole kernel accept","premium",NA,200,0,0,15,56.2,71.2
89,"2002","06","05","07","10",6164,"6",1,"GA Green diamond","0","A","whole kernel accept","premium",NA,200,0,0,0,0,0
90,"2002","06","05","07","10",3264,"3",2,"GA Green diamond","0","A","whole kernel accept","premium",NA,200,0,0,0,0,0
91,"2002","06","05","07","10",2264,"2",2,"GA Green diamond","0","A","whole kernel accept","premium",NA,200,0,0,0,0,0
92,"2002","06","05","07","10",3254,"3",2,"GA Green twin","0","A","whole kernel accept","premium",NA,200,0,0,0,0,0
93,"2002","06","05","07","10",2354,"2",3,"GA Green twin","0","A","whole kernel accept","premium",NA,200,0,0,0,0,0
94,"2002","06","05","07","10",6364,"6",3,"GA Green diamond","0","A","whole kernel accept","premium",NA,199.8,0,0,0,0,0
95,"2002","06","05","07","10",2154,"2",1,"GA Green twin","0","A","whole kernel accept","premium",NA,199.9,0,0,0,0,0
