"ï..Sample_no","Planting_Date","Harvest_Date","Analysis_Date","Rotation","Rep","Variety","Irrigation","Treatment_Code","Quality_short","Quality_long","Acceptance","Orig_Weight","Weight","AT.G2","At.G1","AT.B2","AT.B1","AT.Total"
74,"06-05-2002","07-10-2002","12-02-2003","3",3,"GA 982508","0",3374,"LA","loose split kernel accept","accept",50.8,50.8,0,0,0.2,1.7,1.9
75,"06-05-2002","07-10-2002","12-02-2003","3",2,"AT 201","0",3284,"LA","loose split kernel accept","accept",41.9,41.9,15,45.1,609.7,3636.4,4306.2
76,"06-05-2002","07-10-2002","12-02-2003","3",3,"AT 201","0",3384,"LA","loose split kernel accept","accept",50.5,50.5,0,0,793,6413.8,7206.8
77,"06-05-2002","07-10-2002","12-02-2003","6",2,"GA 982508","0",6274,"LA","loose split kernel accept","accept",61,61,0.3,1.6,0.3,0.6,2.8
78,"06-05-2002","07-10-2002","12-02-2003","2",2,"GA 982508","0",2274,"LA","loose split kernel accept","accept",28.2,28.2,0,0,0.2,2.4,2.6
79,"06-05-2002","07-10-2002","12-02-2003","2",3,"GA 982508","0",2374,"LA","loose split kernel accept","accept",35.4,35.4,0,0,0.2,2,2.2
80,"06-05-2002","07-10-2002","12-02-2003","2",1,"AT 201","0",2184,"LA","loose split kernel accept","accept",72.8,72.8,0,0,60.5,310.9,371.4
81,"06-05-2002","07-10-2002","12-02-2003","3",1,"GA 982508","0",3174,"LA","loose split kernel accept","accept",36.5,36.5,0,0,0,1.5,1.5
82,"06-05-2002","07-10-2002","12-02-2003","3",1,"AT 201","0",3184,"LA","loose split kernel accept","accept",64.3,64.3,18,41.6,139.3,834.2,1022.1
83,"06-05-2002","07-10-2002","12-02-2003","6",2,"AT 201","0",6284,"LA","loose split kernel accept","accept",51,51,765.5,2234.7,1006.1,5664.9,9671.1
84,"06-05-2002","07-10-2002","12-02-2003","3",1,"GA Green diamond","0",3164,"A","whole kernel accept","accept",NA,199.9,0,0,4.2,60.4,64.6
85,"06-05-2002","07-10-2002","12-02-2003","6",3,"GA Green twin","0",6354,"A","whole kernel accept","accept",NA,200.1,0,0,0,0,0
86,"06-05-2002","07-10-2002","12-02-2003","2",2,"GA Green twin","0",2254,"A","whole kernel accept","accept",NA,199.8,0,0,0,0,0
87,"06-05-2002","07-10-2002","12-02-2003","2",3,"GA Green diamond","0",2364,"A","whole kernel accept","accept",NA,200,0,0,0,0,0
88,"06-05-2002","07-10-2002","12-02-2003","6",2,"GA Green twin","0",6254,"A","whole kernel accept","accept",NA,200,0,0,15,56.2,71.2
89,"06-05-2002","07-10-2002","12-02-2003","6",1,"GA Green diamond","0",6164,"A","whole kernel accept","accept",NA,200,0,0,0,0,0
90,"06-05-2002","07-10-2002","12-02-2003","3",2,"GA Green diamond","0",3264,"A","whole kernel accept","accept",NA,200,0,0,0,0,0
91,"06-05-2002","07-10-2002","12-02-2003","2",2,"GA Green diamond","0",2264,"A","whole kernel accept","accept",NA,200,0,0,0,0,0
92,"06-05-2002","07-10-2002","12-02-2003","3",2,"GA Green twin","0",3254,"A","whole kernel accept","accept",NA,200,0,0,0,0,0
93,"06-05-2002","07-10-2002","12-02-2003","2",3,"GA Green twin","0",2354,"A","whole kernel accept","accept",NA,200,0,0,0,0,0
94,"06-05-2002","07-10-2002","12-02-2003","6",3,"GA Green diamond","0",6364,"A","whole kernel accept","accept",NA,199.8,0,0,0,0,0
95,"06-05-2002","07-10-2002","12-02-2003","2",1,"GA Green twin","0",2154,"A","whole kernel accept","accept",NA,199.9,0,0,0,0,0
96,"06-05-2002","07-10-2002","12-02-2003","3",1,"GA Green twin","0",3154,"A","whole kernel accept","accept",NA,200,0,0,0,0.4,0.4
97,"06-05-2002","07-10-2002","12-02-2003","3",3,"GA Green twin","0",3354,"A","whole kernel accept","accept",NA,200,0,0,0,0,0
98,"06-05-2002","07-10-2002","12-02-2003","3",3,"GA Green diamond","0",3364,"A","whole kernel accept","accept",NA,199.9,0,0,0,0,0
99,"06-05-2002","07-10-2002","12-02-2003","2",1,"GA Green diamond","0",2164,"A","whole kernel accept","accept",NA,199.9,0,0,0,1.4,1.4
100,"06-05-2002","07-10-2002","12-02-2003","6",2,"GA Green diamond","0",6264,"A","whole kernel accept","accept",NA,200.1,0,0,2.7,23.7,26.4
101,"06-05-2002","07-10-2002","12-02-2003","6",1,"GA Green twin","0",6154,"A","whole kernel accept","accept",NA,200.1,0,0,3.7,17,20.7
102,"06-05-2002","07-10-2002","12-02-2003","6",1,"AT 201","0",6184,"A","whole kernel accept","accept",NA,200,0,0,5.1,50.2,55.3
103,"06-05-2002","07-10-2002","12-02-2003","6",2,"GA 982508","0",6274,"A","whole kernel accept","accept",NA,199.9,0,0,0,0.5,0.5
