"Rotation","Irrigation","Acceptance","AFG2_mean","AFG1_mean","AFB2_mean","AFB1_mean","AFTotal_mean","AFG2_sd","AFG1_sd","AFB2_sd","AFB1_sd","AFTotal_sd","AFG2_se","AFG1_se","AFB2_se","AFB1_se","AFTotal_se"
3,50,"premium",0,0,0.175,1.18333333333333,1.35833333333333,0,0,0.575444492228715,3.84845502255204,4.42337968964771,0,0,0.166116516245968,1.1109532716173,1.27691972727301
3,50,"reject",0.0277777777777778,0.0833333333333333,0.627777777777778,4.63888888888889,5.37777777777778,0.117851130197758,0.353553390593274,1.53078432628335,11.3001894252155,13.2229548871541,0.0277777777777778,0.0833333333333333,0.360809325883013,2.66348019042079,3.11668035601015
3,75,"accept",0,0,0.183333333333333,1.51666666666667,1.7,0,0,0.172240142436851,1.16518954109049,1.33266649991661,0,0,0.0703167436990966,0.475686638216566,0.544058820349418
3,75,"premium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,75,"reject",0.0222222222222222,0.188888888888889,0.105555555555556,0.722222222222222,1.03888888888889,0.0942809041582063,0.801387685344754,0.189340099299156,1.0003267440048,1.66561731671823,0.0222222222222222,0.188888888888889,0.0446278893883226,0.235779274696018,0.392589766504401
3,100,"premium",0,0,0,0.1,0.1,0,0,0,0.173205080756888,0.173205080756888,0,0,0,0.1,0.1
3,100,"reject",0.0285714285714286,0.2,0.0714285714285714,0.857142857142857,1.15714285714286,0.0755928946018455,0.529150262212918,0.149602648308619,1.19423217013715,1.89987468258404,0.0285714285714286,0.2,0.056544486128752,0.451377332836552,0.71808513318645
4,0,"reject",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,"accept",0,0,0.0149166666666667,0.0531666666666667,0.0680833333333333,0,0,0.0399669370931281,0.113063002013225,0.15242611225433,0,0,0.0115374609447012,0.0326384773238612,0.0440016284707829
5,0,"premium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,"reject",0,0,1.84155555555556,13.816,15.6575555555556,0,0,3.16786324322528,36.6166869780705,39.6878644963139,0,0,1.05595441440843,12.2055623260235,13.229288165438
6,0,"accept",77.6583333333333,229.033333333333,108.666666666667,603.708333333333,1019.05833333333,218.889558945034,639.28552353863,287.319645669903,1615.74252587603,2746.61305626281,63.1879728898569,184.54583455203,82.9420373854933,466.424691127825,792.878893696537
6,0,"premium",2.31666666666667,5.80833333333333,6.98333333333333,35.6083333333333,50.7166666666667,8.0251687417358,20.1206568812585,14.5882164984641,68.406106297522,110.164462454454,2.31666666666667,5.80833333333333,4.2112553611924,19.7471419425442,31.8017410266047
6,0,"reject",14.9333333333333,58.1666666666667,64.7666666666667,475.76,613.62,50.7116451358162,164.44449200986,134.102794615957,999.148479456382,1243.22010417648,13.0936904713198,42.4593852619818,34.6251926818317,257.979028088202,320.998050609716
6,50,"accept",0,0,0,0.275,0.275,0,0,0,0.128805702866407,0.128805702866407,0,0,0,0.0371830036115395,0.0371830036115395
6,50,"premium",0,0,0.0166666666666667,0.15,0.166666666666667,0,0,0.0577350269189626,0.370503343132997,0.427111510526516,0,0,0.0166666666666667,0.106955102446746,0.123296472788236
6,50,"reject",0.025,0.225,0.116666666666667,0.825,1.19166666666667,0.0866025403784439,0.779422863405995,0.158592292219752,1.31848742538907,2.06417860984299,0.025,0.225,0.0457816513022368,0.380614534985757,0.595877038024159
6,75,"accept",0,0,0.0166666666666667,0.316666666666667,0.333333333333333,0,0,0.0408248290463863,0.444597195972564,0.484424056655599,0,0,0.0166666666666667,0.181506045200826,0.197765292989218
6,75,"premium",0.358333333333333,1.08333333333333,1.14166666666667,4.28333333333333,6.86666666666667,1.2413030787577,3.75277674973257,3.95484934394894,14.8064379936771,23.7553566526998,0.358333333333333,1.08333333333333,1.14166666666667,4.2742504806945,6.8575807790659
6,75,"reject",0.0111111111111111,0.0388888888888889,17.2888888888889,71.2333333333333,88.5722222222222,0.0471404520791031,0.164991582276861,69.3819088887424,277.576478067704,346.935971047304,0.0111111111111111,0.0388888888888889,16.3534727556323,65.4254033131842,81.7735925883629
6,100,"premium",0,0,0,0.133333333333333,0.133333333333333,0,0,0,0.23094010767585,0.23094010767585,0,0,0,0.133333333333333,0.133333333333333
6,100,"reject",0,0,0,0.575,0.5375,0,0,0,0.671352579286239,0.678101340930269,0,0,0,0.237358980690189,0.239745028251742
7,0,"premium",2.41666666666667,21.0833333333333,3.3,33.6666666666667,60.45,4.48482626939625,34.4223425505393,7.12741187248219,69.3904220095732,114.551329106213,1.83092265750844,14.0528625000192,2.90975371237269,28.3285211599743,46.765384277975
7,0,"reject",30.3333333333333,198.716666666667,49,439.85,717.9,44.0062116827462,273.938872135129,39.3360394549324,369.313897653473,608.030752511746,17.965460689272,111.835076240765,16.0588708610952,150.771767361576,248.227515262376
7,50,"premium",0,0,0,0.166666666666667,0.166666666666667,0,0,0,0.408248290463863,0.408248290463863,0,0,0,0.166666666666667,0.166666666666667
7,50,"reject",0,0.85,0,0,0.85,0,2.0820662813657,0,0,2.0820662813657,0,0.85,0,0,0.85
